"title","content","rating"
"Good one in market","Good. Don't use the whole glue. Spend lot of time when using uv lamp. Protect the front speaker grill from glue. Place paper napkin under device to collect dripping glue. Wipe off glue soon if it overflows.","5.0"
"Excellent quality material, clear view and smooth touch","Glass quality is wonderful, it cover almost all edges of my phone screen, Specially curved edges, it covers slightly more as compared to other tempered glasses available in market,  it gets perfectly fit to my onplus 7 pro display. Like the product","5.0"
"Worth the price.","I've tried 6 tempered glasses for the one plus 7 pro and this is the only one that fits well and doesn't develop bubbles over time. It's almost edge to edge, and the clarity is good as well.","5.0"
"Great product but requires mid-level application skills.","Very satisfactory results with the protector. Smooth surface of the protector compiled with The phone's 90Hz screen refresh rate is as smooth as physically possible. Application needs steady hands and a some level of patience","5.0"
"Do not waste your hard earned money.","Glue sent with kit is so much extra, this block my speaker and bubble came on screen 11 dots. At this price range this is worst product.","1.0"
"Waste of money","Not suit for 7 pro,airy bubbles appear in sides, i spent ₹300 for installation for expert, but no use total waste","2.0"
"Bubbles everywhere","The product is very hard to install. Even after following the video tutorial, I still ended up with bubbles on my screen. Had to remove. Non returnable product. Total waste of money.","1.0"
"Horrible product that loses adhesion after 2 weeks","Horrible product. After two weeks the adhesive started to give way and all the edges lost the grip. Horrible from such a brand.","1.0"
"Costumers service is Best over Case U...","I faced the problem during the Installation of the Case U ... The Adhesive was too much n when into speaker Grills ... But the Customer service center people called me about this ... N Wl do everything they can to improve in the future. Hope they Send a replacement soon.","2.0"
"Supperb","Wht a product.. easy installation clean n supper touch Neat n excellent feel","5.0"
"Happy with the purchase","I got Manufacturer defective Product when Amazon delivered it to me. But the manufacturer where good enough to ship the another one without any extra fee. Touch sensitivity is great. Cover speaking proper before proceeding.","5.0"
"Very good product","Very good quality product even I got first item it's glue leaked seller service is very good he provided me the replacement on it's own and it's been 5 months very very good quality product no issue at all just install it correctly","5.0"
"Bad Quality...","Not so good... I'm bit disappointed, I had to buy another one within 4 months of timeframe. considering this amount it should last long. do we have any guarantee for this product","4.0"
"Don't buy","Waste","1.0"
"Good value. Good feel. Good protection.","It provides a good edge to edge protection and installation kit includes all the requirements . You have to careful though for installation and always double see the installation video to not mess up. The tempered glass gives you a confidence while using it.","5.0"
"Tempered glass glu type not compatible","This item not in use and not compatible please return and refund thanks","1.0"
"Don't spend so much money on this product.","The product packaging is the only good thing about the product. Installation is not very easy. Adhesion is not even and the screen guard does not stick properly 8n all places. Supplier promised replacement but did not send the fresh piece..","1.0"
"Waste product after 10 days of use","With in 10 days of use, bubbles formed on corners, not at all worth 699rs","5.0"
"Failed installation and money lost","Failed to install properly. The glue leaks from side after installation. I hope it didn't damage the phone. The installation can be handled by experts only and not recommended for normal users.","1.0"
"Simply Perfect","Best tempered glass that you can get currently in the market for OnePlus 7 Pro. I can say this because I almost tried around 5 different ones. Perfect fit and smooth touch sensitivity.","5.0"
"Not recommended for the price","The tempered glass lasted barely a month on my oneplus 7 pro. All of a sudden, there was moisture and air in the middle and side of the curve screen. I cannot recommend this product.","1.0"
"Good product","The glass and glue are perfect. The touch works like the actual screen .Just watch out for any bubbles in the glue while applying or dust particles on the phone.. I have one bubble but it's my fault can't blame the manufacturer for that . All in all a very good product .","5.0"
"The product is waste of money there is no glue in a glue stick not a single drop","There is no glue in it not a single drop i wnt my money back I will make sure that I give this information about the Amazon to all my friends and family how they give the product. very bad experience","1.0"
"No value for money","Resulted in bubbles being formed between the screen and the guard...may be the item I got was life expired...","2.0"
"Top-notch quality..👍","I really appreciate tempered glass quality, slim , sturdy and sperclear, happy to choose caseU.","5.0"
"Nice product","Nice product but installation is bit headache,you have to carefull after applying glue with 2sec you have to rove the bubbles and then you have to apply that uv method.","4.0"
"Bad product, worthless.","I have tried installing this tempered glass, but It didn't go well. There is less glue in the packet and uv ray didnt work well, it hardly heats up. As you can see in the pictures a major part of glass has bubbles and it's not clean","1.0"
"Waste of time and money","Received a damaged product. Waited for weeks for the delivery, and finally received a damaged product.","1.0"
"Perfect tempered glass with premium feel to it.","Very nice glass specially for curved display it sticks perfectly with uv glue. I really recommend for all who wants seemless perfect glass for their premium phones. With it's oleophobic coat it's look perfect and less prones to smudges and scratches.","5.0"
"Don't Waste your money","Worst products already damaged product recived and fake product some lines on the screen guard also so please take return or replace ur product","1.0"
"Better in every way","A but tricky to install.but if you do it correctly. U get a perfect protection for ur loved fone. Better than black bordered glasses fully transparent no borders and covers full screen. Also case friendly.","5.0"
"Similar touch sensitivity as original","I used two tempered glasses before buying this one. All the previous one had lowered my touch sensitivity. This has kept my touch sensitivity as it is. I would recommend people to buy this product","5.0"
"Cheap product","Very cheap product don't buy .........","1.0"
"Not happy","No doubt tempered was of good quality. But what the purpose of tempered when u can't install it. What was that glue thing i don't get it u need to first apply glue and then there are so many bubbles on your screen. And u have to paste it will take time","4.0"
"Nice Product  with ultimate  Finish","I am writing  this review  after couple  of weeks as the product  is installed  with glue .Nice product From Case u with  Exact fit and finish.I recommended this product  for every  one plus 7 pro users.","5.0"
"Worth the money","Good presentation of the product and worth the money","4.0"
"Perfect fit","Very good","5.0"
"Broken product","It's broken what will i do with broken screen guard","1.0"
"Be careful when you put it on mobile","the liquid used as gum is very strong and it will ruin you mobile. a single drop in speaker of the phone and i am not able to hear any thing in the mobile . however product is very strong for those who drop their mobile often.","1.0"
"Worst product","UV light has no charging/connecting slot.. adhesive is really bad... Need my refund.. they sent cracked tampered glass.","1.0"
"Worth buy.","Will highly recommend this product to every one, it's so worth purchasing, jus an advice that please cover the front speaker of the OnePlus 7/7t pro with tape before installation.","5.0"
"Fine product.","The glue is extremely less. The UV doesn't work.","4.0"
"Not good","It doesn't gets fix properly. Also, phone loses touch sensitivity","1.0"
"Recommended..!","Easy installation and quality product. Require an experienced hand to install it. Use only a moderate amount of adhesive, or else it will spill all over. Recommended.","5.0"
"Excellent protection","The protection of the glass is very good. When it cracked in the edges once, I contacted customer care, who replaced the glass immediately.","5.0"
"Very good product for oneplus 7 pro","I am using it from the beginning. It's touch and clarity is very good.","5.0"
"Fits perfectly","A good screen guard that fits perfectly and covers the entire screen.","5.0"
"Below average product!","I applied the glass 3 months back and the glass didn't even give 10% of the value for my money. Although the glass fits perfectly, bubbles started forming on the edges after 1 week. After 3 months so many bubbles have appeared that the phone looks ugly now.","1.0"
"Pl, send another in working condition","Everything was good till I need to use the UV which didn't work. So my entire screenguard is of no use. Very bad experience. This is the second time I ordered the product and got same experience. Very sad and very bad..","1.0"
"Think twice","A headache to install even after reading and following the instructions. Make it simple? Why complicate it?","1.0"
"Full screen coverage","Nice tempered glass for OnePlus 7 pro. I have been using there tempered glass since OnePlus 3. Quality is great. The application process is quite simple as well, just need to be a little careful","5.0"
"Dont buy","Within 1 month it got cracks without no reason. Such a Brittle product. It did not even fall. Now no more tempered glass. Looking for a simple plastic protector. Wasted 700 bucks.","1.0"
"No long time use poor quality","No long time use after 45 days automatic crack don't buy this product","1.0"
"How to remove it","It is NOT AT ALL easy to install. Patches are left on ky screen while installing. After few days i noticed tempered got crack at every corners. It's been just a month and I got one big bubble on middle of screen. Quite annoying to use.","1.0"
"very good","It is a good product. But please make sure you cover your speakers before you instal this. The liquid may enter and you will need to go for a service. Follow the instructions properly for the best result.","5.0"
"Great tempered glass for oneplus 7pro","This tempered glass is really great for the corved screen, it doesn't feel like I have applied anything on the screen. The quality is really nice and easy to install.","5.0"
"Easy to apply and covers 95% of screen","Satisfy by the product. One of other reviewer suggested to use half glue, I won't recommend that as it may result into lots of bubbles on the screen.","4.0"
"Best one..","Best tempered glass for One Plus 7T Pro...","5.0"
"Worst product","Using this product from 2 months All the sides and corners are turning white not a good product i won't recomend this","1.0"
"Amazing Tempered Glass","It's an amazing product. I got all clear(without any border) tempered glass. Installation is bit difficult but the end result is great... Perfect fit, no bubbles.","5.0"
"Amazing Product, would strongly recommend.","The product is totally worth the money. Fits perfectly, the fingerprint works well too, if that's what you were worried about","5.0"
"Worst product","Total waste of money don't buy it and it doesn't cover the entire screen and once you place the glass on it the glue doesn't spread well and when you adjust the glass it creates bubble on the screen and it's wasted","1.0"
